Year;"NCM Code";"NCM Description";Country;State;"Economic Block";Via;URF;"US$ FOB";"Net Weight";Quantity
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Hungary;"Rio Grande do Sul";Europe;AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";583;87;87
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Hungary;"Rio Grande do Sul";"European Union (EU)";AEREA;"0817600 - AEROPORTO INTERNACIONAL DE SAO PAULO/GUARULHOS";583;87;87
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Norway;"Rio Grande do Sul";Europe;MARITIMA;"1017700 - PORTO DE RIO GRANDE";572;147;147
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Espírito Santo";"Africa (minus MIDDLE EAST)";MARITIMA;"0710251 - IRF CAMPOS DOS GOYTACAZES";559;96;79
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";"Santa Catarina";"Asia (minus MIDDLE EAST)";MARITIMA;"0927502 - IRF - IMBITUBA";553;343;360
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"São Paulo";"Africa (minus MIDDLE EAST)";MARITIMA;"0710251 - IRF CAMPOS DOS GOYTACAZES";547;117;51
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Santa Catarina";"Africa (minus MIDDLE EAST)";MARITIMA;"0927800 - ITAJAI";545;257;229
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;"São Paulo";Europe;MARITIMA;"0817800 - PORTO DE SANTOS";525;210;147
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;"São Paulo";"European Union (EU)";MARITIMA;"0817800 - PORTO DE SANTOS";525;210;147
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Guyana;Roraima;"South America";"VIA NAO DECLARADA";"0260152 - BONFIM";517;255;255
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;"Santa Catarina";"Central America and Caribbean";MARITIMA;"0917800 - PORTO DE PARANAGUA";514;288;337
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;Bahia;Europe;MARITIMA;"0517800 - ALF - SALVADOR";507;119;116
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;Bahia;"European Union (EU)";MARITIMA;"0517800 - ALF - SALVADOR";507;119;116
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";Ceará;Oceania;MARITIMA;"0317900 - ALF - FORTALEZA";497;129;131
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Santa Catarina";"Africa (minus MIDDLE EAST)";MARITIMA;"0927700 - PORTO DE SAO FRANCISCO DO SUL";492;241;235
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Liberia;"Rio de Janeiro";"Africa (minus MIDDLE EAST)";MARITIMA;"0717800 - PORTO DE ITAGUAI";485;138;139
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Malta;Ceará;Europe;MARITIMA;"0317900 - ALF - FORTALEZA";481;142;145
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Malta;Ceará;"European Union (EU)";MARITIMA;"0317900 - ALF - FORTALEZA";481;142;145
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Philippines;"São Paulo";"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0817800 - PORTO DE SANTOS";480;97;59
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Philippines;"São Paulo";"Asia (minus MIDDLE EAST)";MARITIMA;"0817800 - PORTO DE SANTOS";480;97;59
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";China;Maranhão;"Asia (minus MIDDLE EAST)";MARITIMA;"0317903 - IRF SAO LUIS";478;130;80
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Panama;Paraná;"Central America and Caribbean";MARITIMA;"0817800 - PORTO DE SANTOS";476;144;144
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Marshall Islands";"Santa Catarina";Oceania;MARITIMA;"0927700 - PORTO DE SAO FRANCISCO DO SUL";474;270;277
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Bahia;"Asia (minus MIDDLE EAST)";MARITIMA;"0517800 - ALF - SALVADOR";474;28;29
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Bahia;"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0517800 - ALF - SALVADOR";474;28;29
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";"Rio de Janeiro";"Asia (minus MIDDLE EAST)";MARITIMA;"0717800 - PORTO DE ITAGUAI";472;139;138
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"Hong Kong";Bahia;"Asia (minus MIDDLE EAST)";MARITIMA;"0517800 - ALF - SALVADOR";472;104;73
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";"New Zealand";"Santa Catarina";Oceania;MARITIMA;"0927800 - ITAJAI";469;117;117
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Paraná;"Association Of Southeast Asian Nations (ASEAN)";MARITIMA;"0917800 - PORTO DE PARANAGUA";455;219;216
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Singapore;Paraná;"Asia (minus MIDDLE EAST)";MARITIMA;"0917800 - PORTO DE PARANAGUA";455;219;216
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Greece;Maranhão;"European Union (EU)";MARITIMA;"0317903 - IRF SAO LUIS";453;268;119
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Greece;Maranhão;Europe;MARITIMA;"0317903 - IRF SAO LUIS";453;268;119
2021;22042910;"Wine in containers larger than 10 liters";Greece;Maranhão;Europe;MARITIMA;"0317903 - IRF SAO LUIS";433;6;9
2021;22042910;"Wine in containers larger than 10 liters";Greece;Maranhão;"European Union (EU)";MARITIMA;"0317903 - IRF SAO LUIS";433;6;9
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Japan;Maranhão;"Asia (minus MIDDLE EAST)";MARITIMA;"0317903 - IRF SAO LUIS";417;207;208
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;Maranhão;Europe;MARITIMA;"0317903 - IRF SAO LUIS";417;110;105
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;Maranhão;"European Union (EU)";MARITIMA;"0317903 - IRF SAO LUIS";417;110;105
2021;22042100;"Other wine, grape must, fermen.alcohol containers<=2l";Cyprus;"Espírito Santo";Europe;MARITIMA;"0727600 - PORTO DE VITORIA";416;108;107
